SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,PacketsSent
0,0,0,10,DSR,7.5,0
1,0,0,10,DSR,7.5,0
2,0,0,10,DSR,7.5,0
3,0,0,10,DSR,7.5,0
4,0,0,10,DSR,7.5,0
5,0,0,10,DSR,7.5,0
6,0,0,10,DSR,7.5,0
7,0,0,10,DSR,7.5,0
8,0,0,10,DSR,7.5,0
9,0,0,10,DSR,7.5,0
10,0,0,10,DSR,7.5,0
11,0,0,10,DSR,7.5,0
12,0,0,10,DSR,7.5,0
13,0,0,10,DSR,7.5,0
14,0,0,10,DSR,7.5,0
15,0,0,10,DSR,7.5,0
16,0,0,10,DSR,7.5,0
17,0,0,10,DSR,7.5,0
18,0,0,10,DSR,7.5,0
19,0,0,10,DSR,7.5,0
20,0,0,10,DSR,7.5,0
21,0,0,10,DSR,7.5,0
22,0,0,10,DSR,7.5,0
23,0,0,10,DSR,7.5,0
24,0,0,10,DSR,7.5,0
25,0,0,10,DSR,7.5,0
26,0,0,10,DSR,7.5,0
27,0,0,10,DSR,7.5,0
28,0,0,10,DSR,7.5,0
29,0,0,10,DSR,7.5,0
30,0,0,10,DSR,7.5,0
31,0,0,10,DSR,7.5,0
32,0,0,10,DSR,7.5,0
33,0,0,10,DSR,7.5,0
34,0,0,10,DSR,7.5,0
35,0,0,10,DSR,7.5,0
36,0,0,10,DSR,7.5,0
37,0,0,10,DSR,7.5,0
38,0,0,10,DSR,7.5,0
39,0,0,10,DSR,7.5,0
40,0,0,10,DSR,7.5,0
41,0,0,10,DSR,7.5,0
42,0,0,10,DSR,7.5,0
43,0,0,10,DSR,7.5,0
44,0,0,10,DSR,7.5,0
45,0,0,10,DSR,7.5,0
46,0,0,10,DSR,7.5,0
47,0,0,10,DSR,7.5,0
48,0,0,10,DSR,7.5,0
49,0,0,10,DSR,7.5,0
50,0,0,10,DSR,7.5,0
51,0,0,10,DSR,7.5,0
52,0,0,10,DSR,7.5,0
53,0,0,10,DSR,7.5,0
54,0,0,10,DSR,7.5,0
55,0,0,10,DSR,7.5,0
56,0,0,10,DSR,7.5,0
57,0,0,10,DSR,7.5,0
58,0,0,10,DSR,7.5,0
59,0,0,10,DSR,7.5,0
60,0,0,10,DSR,7.5,0
61,0,0,10,DSR,7.5,0
62,0,0,10,DSR,7.5,0
63,0,0,10,DSR,7.5,0
64,0,0,10,DSR,7.5,0
65,0,0,10,DSR,7.5,0
66,0,0,10,DSR,7.5,0
67,0,0,10,DSR,7.5,0
68,0,0,10,DSR,7.5,0
69,0,0,10,DSR,7.5,0
70,0,0,10,DSR,7.5,0
71,0,0,10,DSR,7.5,0
72,0,0,10,DSR,7.5,0
73,0,0,10,DSR,7.5,0
74,0,0,10,DSR,7.5,0
75,0,0,10,DSR,7.5,0
76,0,0,10,DSR,7.5,0
77,0,0,10,DSR,7.5,0
78,0,0,10,DSR,7.5,0
79,0,0,10,DSR,7.5,0
80,0,0,10,DSR,7.5,0
81,0,0,10,DSR,7.5,0
82,0,0,10,DSR,7.5,0
83,0,0,10,DSR,7.5,0
84,0,0,10,DSR,7.5,0
85,0,0,10,DSR,7.5,0
86,0,0,10,DSR,7.5,0
87,0,0,10,DSR,7.5,0
88,0,0,10,DSR,7.5,0
89,0,0,10,DSR,7.5,0
90,0,0,10,DSR,7.5,0
91,0,0,10,DSR,7.5,0
92,0,0,10,DSR,7.5,0
93,0,0,10,DSR,7.5,0
94,0,0,10,DSR,7.5,0
95,0,0,10,DSR,7.5,0
96,0,0,10,DSR,7.5,0
97,0,0,10,DSR,7.5,0
98,0,0,10,DSR,7.5,0
99,0,0,10,DSR,7.5,0
100,0,0,10,DSR,7.5,0
101,1.024,2,10,DSR,7.5,15
102,8.192,16,10,DSR,7.5,40
103,13.824,27,10,DSR,7.5,40
104,8.704,17,10,DSR,7.5,40
105,8.192,16,10,DSR,7.5,40
106,8.192,16,10,DSR,7.5,40
107,6.656,13,10,DSR,7.5,40
108,23.04,45,10,DSR,7.5,40
109,7.68,15,10,DSR,7.5,40
110,4.608,9,10,DSR,7.5,40
111,2.048,4,10,DSR,7.5,40
112,1.024,2,10,DSR,7.5,40
113,12.288,24,10,DSR,7.5,40
114,19.456,38,10,DSR,7.5,40
115,9.216,18,10,DSR,7.5,40
116,9.728,19,10,DSR,7.5,40
117,9.216,18,10,DSR,7.5,40
118,5.632,11,10,DSR,7.5,40
119,2.048,4,10,DSR,7.5,40
120,2.56,5,10,DSR,7.5,40
121,4.608,9,10,DSR,7.5,40
122,7.168,14,10,DSR,7.5,40
123,15.36,30,10,DSR,7.5,40
124,27.136,53,10,DSR,7.5,40
125,6.144,12,10,DSR,7.5,40
126,3.072,6,10,DSR,7.5,40
127,5.12,10,10,DSR,7.5,40
128,6.144,12,10,DSR,7.5,40
129,6.144,12,10,DSR,7.5,40
130,6.656,13,10,DSR,7.5,40
131,4.096,8,10,DSR,7.5,40
132,6.656,13,10,DSR,7.5,40
133,4.096,8,10,DSR,7.5,40
134,5.632,11,10,DSR,7.5,40
135,5.12,10,10,DSR,7.5,40
136,5.632,11,10,DSR,7.5,40
137,7.68,15,10,DSR,7.5,40
138,10.24,20,10,DSR,7.5,40
139,8.704,17,10,DSR,7.5,40
140,6.144,12,10,DSR,7.5,40
141,2.048,4,10,DSR,7.5,40
142,3.584,7,10,DSR,7.5,40
143,4.096,8,10,DSR,7.5,40
144,3.584,7,10,DSR,7.5,40
145,4.608,9,10,DSR,7.5,40
146,4.608,9,10,DSR,7.5,40
147,6.144,12,10,DSR,7.5,40
148,5.632,11,10,DSR,7.5,40
149,10.752,21,10,DSR,7.5,40
150,13.312,26,10,DSR,7.5,40
151,10.752,21,10,DSR,7.5,40
152,11.264,22,10,DSR,7.5,40
153,8.704,17,10,DSR,7.5,40
154,5.632,11,10,DSR,7.5,40
155,2.048,4,10,DSR,7.5,40
156,1.536,3,10,DSR,7.5,40
157,0.512,1,10,DSR,7.5,40
158,1.024,2,10,DSR,7.5,40
159,0.512,1,10,DSR,7.5,40
160,0,0,10,DSR,7.5,40
161,1.536,3,10,DSR,7.5,40
162,4.096,8,10,DSR,7.5,40
163,5.12,10,10,DSR,7.5,40
164,9.728,19,10,DSR,7.5,40
165,9.216,18,10,DSR,7.5,40
166,8.704,17,10,DSR,7.5,40
167,6.144,12,10,DSR,7.5,40
168,2.048,4,10,DSR,7.5,40
169,3.072,6,10,DSR,7.5,40
170,3.072,6,10,DSR,7.5,40
171,3.584,7,10,DSR,7.5,40
172,4.608,9,10,DSR,7.5,40
173,4.608,9,10,DSR,7.5,40
174,3.072,6,10,DSR,7.5,40
175,4.096,8,10,DSR,7.5,40
176,4.608,9,10,DSR,7.5,40
177,4.608,9,10,DSR,7.5,40
178,4.096,8,10,DSR,7.5,40
179,3.584,7,10,DSR,7.5,40
180,2.56,5,10,DSR,7.5,40
181,2.56,5,10,DSR,7.5,40
182,2.56,5,10,DSR,7.5,40
183,5.632,11,10,DSR,7.5,40
184,7.168,14,10,DSR,7.5,40
185,5.12,10,10,DSR,7.5,40
186,6.144,12,10,DSR,7.5,40
187,4.608,9,10,DSR,7.5,40
188,2.56,5,10,DSR,7.5,40
189,2.048,4,10,DSR,7.5,40
190,5.632,11,10,DSR,7.5,40
191,6.656,13,10,DSR,7.5,40
192,5.12,10,10,DSR,7.5,40
193,6.144,12,10,DSR,7.5,40
194,6.144,12,10,DSR,7.5,40
195,4.096,8,10,DSR,7.5,40
196,5.632,11,10,DSR,7.5,40
197,7.168,14,10,DSR,7.5,40
198,6.144,12,10,DSR,7.5,40
199,4.608,9,10,DSR,7.5,40
